timestamp_ms,s_rtt_ms,base_rtt_ms,qdelay_ms,qdelay_avg_ms,bitrate_kbps,cwnd_bytes,bytes_in_flight,max_bytes_in_flight,packet_loss
1751555796121,0,10000,0,0,500,2000,0,0,0
1751555796122,0,10000,0,0,500,2000,2752,2752,0
1751555796133,0,10000,0,0,500,2000,0,0,0
1751555796162,0,10000,0,0,500,2000,2752,2752,0
1751555796173,0,10000,0,0,500,2000,0,0,0
1751555796192,69,69,0,0,500,2000,2720,2752,0
1751555796204,69,69,0,0,500,2000,2720,2752,0
1751555796214,0,10000,0,0,500,2000,0,0,0
1751555796242,65,69,0,0,500,4085.6396,2752,2752,0
1751555796255,0,10000,0,0,500,2000,0,0,0
1751555796267,65,69,0,0,500,4085.6396,2720,2752,0
1751555796283,63,69,0,1,515.0672,4085.6396,2720,2752,0
1751555796295,0,10000,0,0,500,2000,0,0,0
1751555796324,57,69,0,0,575.2964,4128,2720,2720,0
1751555796332,0,10000,0,0,500,2000,0,0,0
1751555796333,57,69,0,0,575.2964,4128,4096,4096,0
1751555796372,57,69,0,0,575.2964,4128,4096,4096,0
1751555796392,0,10000,0,0,500,2000,0,0,0
1751555796399,57,69,0,0,575.2964,4128,4096,4096,0
1751555796401,57,69,0,0,500,2022.7198,1376,4096,1
1751555796423,0,10000,0,0,500,2000,0,0,0
1751555796438,57,69,0,0,500,2022.7198,2720,4096,0
1751555796449,63,69,36,4,500,2022.7198,2720,4096,0
1751555796469,0,10000,0,0,500,2000,0,0,0
1751555796469,63,69,36,4,500,2710.3315,2752,2752,0
1751555796482,58,69,0,3,500,2710.3315,2752,2752,0
1751555796492,0,10000,0,0,500,2000,0,0,0
1751555796526,56,69,0,3,605.6432,4254.7114,2720,2720,0
1751555796532,56,69,0,3,605.6432,4254.7114,4096,4096,0
1751555796537,0,10000,0,0,500,2000,0,0,0
1751555796562,60,69,19,4,564.23773,4254.7114,4096,4096,0
1751555796578,0,10000,0,0,500,2000,0,0,0
1751555796588,60,69,19,4,564.23773,4254.7114,4096,4096,0
1751555796609,58,69,0,3,582.61334,4254.7114,4096,4096,0
1751555796615,0,10000,0,0,500,2000,0,0,0
1751555796643,55,69,0,2,618.1294,4254.7114,2720,4096,0
1751555796651,55,69,0,2,850.6125,5854.9404,4096,4096,0
1751555796653,0,10000,0,0,500,2000,0,0,0
1751555796690,58,69,12,3,802.1235,5854.9404,5440,5440,0
1751555796695,0,10000,0,0,500,2000,0,0,0
1751555796706,58,69,12,3,802.1235,5854.9404,5472,5472,0
1751555796723,61,69,0,3,799.42114,6144,5472,5472,0
1751555796733,0,10000,0,0,500,2000,0,0,0
1751555796749,61,69,0,3,799.42114,6144,5472,5472,0
1751555796763,59,69,0,2,827.32355,6144,5472,5472,0
1751555796776,0,10000,0,0,500,2000,0,0,0
1751555796792,59,69,0,2,901.07745,6691.7227,5472,5472,0
1751555796804,58,69,0,3,910.91473,6691.7227,5472,5472,0
1751555796816,0,10000,0,0,500,2000,0,0,0
1751555796854,0,10000,0,0,500,2000,0,0,0
1751555796854,58,69,0,3,972.8951,7147.04,5472,5472,0
1751555796854,64,69,35,6,885.44836,7147.04,6816,6816,0
1751555796887,67,69,16,7,500,3502.0493,4096,6848,1
1751555796926,67,69,16,7,509.71567,4286.5444,4096,4096,0
1751555796926,0,10000,0,0,500,2000,0,0,0
1751555796926,67,69,16,7,509.71567,4286.5444,4096,4096,0
1751555796950,0,10000,0,0,500,2000,0,0,0
1751555796971,67,69,16,7,509.71567,4286.5444,4096,4096,0
1751555796982,0,10000,0,0,500,2000,0,0,0
1751555796997,79,69,14,15,500,4286.5444,4096,4096,0
1751555797004,78,69,3,13,606.9835,5927.6816,4096,4096,0
1751555797013,0,10000,0,0,500,2000,0,0,0
1751555797050,81,69,34,15,582.43353,5927.6816,5440,5440,0
1751555797054,0,10000,0,0,500,2000,0,0,0
1751555797090,81,69,34,15,603.68823,6144,5440,5440,0
1751555797091,84,69,24,16,582.8075,6144,5472,5472,0
1751555797093,0,10000,0,0,500,2000,0,0,0
1751555797121,81,69,0,15,604.54785,6144,5440,5472,0
1751555797132,0,10000,0,0,500,2000,0,0,0
1751555797147,81,69,0,15,604.54785,6144,0,5472,0
1751555797162,72,69,0,12,677.9913,6144,4096,5472,0
1751555797174,0,10000,0,0,500,2000,0,0,0
1751555797204,72,69,0,12,870.3098,7886.803,5472,5472,0
1751555797204,72,69,0,12,870.3098,7886.803,6848,6848,0
1751555797216,0,10000,0,0,500,2000,0,0,0
1751555797242,72,69,3,9,869.944,7886.803,4096,6848,0
1751555797255,0,10000,0,0,500,2000,0,0,0
1751555797255,72,69,3,9,869.944,7886.803,6848,6848,0
1751555797282,72,69,2,8,907.2552,8208,5440,5440,0
1751555797293,0,10000,0,0,500,2000,0,0,0
1751555797295,72,69,2,8,907.2552,8208,6816,6816,0
1751555797322,70,69,0,6,935.97205,8208,5440,6816,0
1751555797333,0,10000,0,0,500,2000,0,0,0
1751555797333,70,69,0,6,935.97205,8208,6816,6816,0
1751555797363,68,69,0,5,1076.8187,9173.397,6816,6816,0
1751555797384,0,10000,0,0,500,2000,0,0,0
1751555797384,68,69,0,5,1076.8187,9173.397,8192,8192,0
1751555797403,70,69,0,5,1044.3125,9173.397,6816,8192,0
1751555797413,0,10000,0,0,500,2000,0,0,0
1751555797415,70,69,0,5,1044.3125,9173.397,8192,8192,0
1751555797443,66,69,0,3,1228.799,10224,6816,6816,0
1751555797449,66,69,0,3,1228.799,10224,9568,9568,0
1751555797455,0,10000,0,0,500,2000,0,0,0
1751555797478,66,69,0,3,1230.5161,10224,9568,9568,0
1751555797483,66,69,0,3,1230.5161,10224,9568,9568,0
1751555797494,0,10000,0,0,500,2000,0,0,0
1751555797509,66,69,0,3,1230.5161,10224,9568,9568,0
1751555797523,66,69,0,2,1349.0016,11177.912,9568,9568,0
1751555797550,0,10000,0,0,500,2000,0,0,0
1751555797551,66,69,0,2,1349.0016,11177.912,10912,10912,0
1751555797562,74,69,12,7,842.9368,7824.5386,9536,10912,1
1751555797574,0,10000,0,0,500,2000,0,0,0
1751555797584,74,69,12,7,842.9368,7824.5386,6816,10912,0
1751555797602,78,69,16,9,910.02563,8891.661,6816,6816,0
